acid_id,acid_name,formula,concentration_pct,temperature_c,density_kg_l
nitric,硝酸,HNO3,49,5,1.3214
nitric,硝酸,HNO3,49,10,1.3153
nitric,硝酸,HNO3,49,15,1.3096
nitric,硝酸,HNO3,49,20,1.304
nitric,硝酸,HNO3,49,25,1.2984
nitric,硝酸,HNO3,49,30,1.2929
nitric,硝酸,HNO3,49,40,1.2811
nitric,硝酸,HNO3,49,50,1.2693
nitric,硝酸,HNO3,49,60,1.2575
nitric,硝酸,HNO3,49,80,1.2328
nitric,硝酸,HNO3,49,100,1.2073
nitric,硝酸,HNO3,50,0,1.3327
nitric,硝酸,HNO3,50,5,1.3277
nitric,硝酸,HNO3,50,10,1.3215
nitric,硝酸,HNO3,50,15,1.3157
nitric,硝酸,HNO3,50,20,1.31
nitric,硝酸,HNO3,50,25,1.3043
nitric,硝酸,HNO3,50,30,1.2987
nitric,硝酸,HNO3,50,40,1.2867
nitric,硝酸,HNO3,50,50,1.2748
nitric,硝酸,HNO3,50,60,1.2628
nitric,硝酸,HNO3,50,80,1.2377
nitric,硝酸,HNO3,50,100,1.2118
nitric,硝酸,HNO3,51,0,1.3391
nitric,硝酸,HNO3,51,5,1.3339
nitric,硝酸,HNO3,51,10,1.3277
nitric,硝酸,HNO3,51,15,1.3218
